id,playtime_forever
0,0.00E+00
1,2.81E+00
2,0.00E+00
3,0.00E+00
4,6.22E+00
5,4.19E+00
6,2.19E+00
7,0.00E+00
8,1.77E+00
9,8.23E+00
10,1.73E+00
11,0.00E+00
12,3.01E+00
13,2.75E+00
14,2.84E+00
15,7.22E-01
16,2.50E+00
17,2.43E+00
18,4.58E+00
19,5.03E+00
20,0.00E+00
21,7.08E+00
22,0.00E+00
23,1.06E+00
24,1.59E+00
25,1.72E+00
26,0.00E+00
27,2.57E+00
28,2.64E+00
29,3.56E+00
30,3.91E+00
31,1.43E+01
32,1.08E+00
33,1.47E+00
34,2.41E+00
35,0.00E+00
36,3.80E+00
37,7.64E+00
38,3.01E+00
39,0.00E+00
40,0.00E+00
41,1.87E+00
42,3.60E+00
43,3.65E+00
44,2.99E+00
45,1.61E+00
46,2.44E+00
47,1.60E+00
48,0.00E+00
49,7.84E+00
50,4.38E+00
51,1.30E+00
52,0.00E+00
53,4.83E+00
54,9.76E-01
55,1.67E+00
56,4.35E+00
57,2.82E+00
58,1.71E+00
59,1.96E+00
60,3.59E+00
61,0.00E+00
62,2.45E+00
63,7.45E+00
64,1.41E+00
65,2.40E+00
66,2.65E-01
67,1.20E+00
68,5.64E+00
69,7.42E-01
70,1.56E+00
71,6.10E+00
72,3.33E+00
73,9.26E+00
74,4.09E+00
75,1.20E+01
76,1.09E+01
77,4.16E+00
78,2.54E+00
79,1.03E+00
80,2.49E+00
81,3.56E+00
82,1.69E+00
83,3.32E+00
84,7.02E+00
85,0.00E+00
86,0.00E+00
87,4.60E+00
88,4.67E+00
89,4.48E+00
